event_id,triplet_id,method,event_date,exit_date,side,label,outcome,exit_reason,holding_period,entry_z_score,exit_z_score
evt_0029,AAPL_QQQ_XLK,kalman,2022-02-11,2022-02-16,long_spread,1,success,reversion,5,-2.4340286350333082,-0.25251286454131117
evt_0030,JPM_XLF_KRE,kalman,2022-02-14,2022-02-27,short_spread,0,failure,max_holding,13,2.159123790240888,1.5895615401531098
evt_0031,AAPL_QQQ_XLK,kalman,2022-02-15,2022-02-21,long_spread,1,success,reversion,6,-2.996537569187197,-0.5166264595970931
evt_0032,JPM_XLF_KRE,kalman,2022-02-16,2022-03-02,short_spread,1,success,reversion,14,2.1742584210724676,-0.02202900053616405
evt_0033,XOM_XLE_USO,kalman,2022-02-17,2022-03-02,long_spread,0,failure,max_holding,13,-2.984976619005276,-1.019534441012985
evt_0034,NVDA_SMH_QQQ,kalman,2022-02-18,2022-02-22,short_spread,0,failure,stop_loss,4,2.060801733071034,3.2416626521422374
evt_0035,AAPL_QQQ_XLK,kalman,2022-02-21,2022-03-01,long_spread,0,failure,max_holding,8,-2.563723189726542,-1.421348732819692
evt_0036,AAPL_QQQ_XLK,kalman,2022-02-22,2022-03-01,short_spread,1,success,reversion,7,2.944690297296619,0.49543918480354954
evt_0037,XOM_XLE_USO,kalman,2022-02-23,2022-03-02,long_spread,1,success,reversion,7,-1.7037069693104683,-0.1572398740573506
evt_0038,JPM_XLF_KRE,kalman,2022-02-24,2022-03-08,short_spread,0,failure,stop_loss,12,1.7905265957243248,3.201811966150836
evt_0039,NVDA_SMH_QQQ,kalman,2022-02-25,2022-03-04,long_spread,1,success,reversion,7,-2.7380479546587697,-0.4801133445683281
evt_0040,JPM_XLF_KRE,kalman,2022-02-28,2022-03-04,short_spread,0,failure,max_holding,4,1.7136580814619495,1.1727495111557085
evt_0041,NVDA_SMH_QQQ,kalman,2022-03-01,2022-03-10,long_spread,1,success,reversion,9,-1.5289521552984497,0.031417966334257405
evt_0042,NVDA_SMH_QQQ,kalman,2022-03-02,2022-03-10,short_spread,1,success,reversion,8,1.824118862486206,-0.07397123196173969
evt_0043,AAPL_QQQ_XLK,kalman,2022-03-03,2022-03-14,long_spread,0,failure,max_holding,11,-2.17106650612311,-1.6016108393194952
evt_0044,JPM_XLF_KRE,kalman,2022-03-04,2022-03-15,short_spread,0,failure,stop_loss,11,2.6945087957742104,3.0667443220759365
evt_0045,AAPL_QQQ_XLK,kalman,2022-03-07,2022-03-11,long_spread,0,failure,stop_loss,4,-2.690394496407487,-3.433581297604844
evt_0046,NVDA_SMH_QQQ,kalman,2022-03-08,2022-03-16,short_spread,0,failure,max_holding,8,1.8642116802100022,1.77408475921004
evt_0047,NVDA_SMH_QQQ,kalman,2022-03-09,2022-03-20,long_spread,0,failure,stop_loss,11,-1.8816585330767719,-3.2084928087900573
evt_0048,NVDA_SMH_QQQ,kalman,2022-03-10,2022-03-18,short_spread,0,failure,max_holding,8,1.5882003340630322,1.050881630923511
evt_0049,XOM_XLE_USO,kalman,2022-03-11,2022-03-20,long_spread,1,success,reversion,9,-1.5382538733043787,-0.0921180430347737
evt_0050,AAPL_QQQ_XLK,kalman,2022-03-14,2022-03-27,short_spread,0,failure,stop_loss,13,1.7291496662135948,3.450430956447308
evt_0051,NVDA_SMH_QQQ,kalman,2022-03-15,2022-03-23,long_spread,1,success,reversion,8,-2.7782109568236084,0.01586781370718203
evt_0052,AAPL_QQQ_XLK,kalman,2022-03-16,2022-03-22,short_spread,0,failure,stop_loss,6,2.0785316974359365,3.6132171145660656
evt_0053,NVDA_SMH_QQQ,kalman,2022-03-17,2022-03-30,long_spread,1,success,reversion,13,-2.0917753453207544,-0.3645403779054712
evt_0054,NVDA_SMH_QQQ,kalman,2022-03-18,2022-03-23,short_spread,1,success,reversion,5,2.0871209724730706,0.00023533414976475986
evt_0055,JPM_XLF_KRE,kalman,2022-03-21,2022-03-28,long_spread,0,failure,max_holding,7,-1.909101858538126,-1.9389793850139319
evt_0056,JPM_XLF_KRE,kalman,2022-03-22,2022-03-30,short_spread,0,failure,max_holding,8,3.1004392433157832,1.5361043889437014
evt_0057,NVDA_SMH_QQQ,kalman,2022-03-23,2022-03-30,long_spread,1,success,reversion,7,-3.09982231960315,-0.029038422458305208
evt_0058,AAPL_QQQ_XLK,kalman,2022-03-24,2022-04-01,short_spread,0,failure,stop_loss,8,3.085174410472236,3.4439664843534836
evt_0059,NVDA_SMH_QQQ,kalman,2022-03-25,2022-04-03,long_spread,0,failure,max_holding,9,-2.724100320764749,-1.6656653112958262
evt_0060,XOM_XLE_USO,kalman,2022-03-28,2022-04-03,short_spread,1,success,reversion,6,2.60764747788128,0.40319981037072883
evt_0061,JPM_XLF_KRE,kalman,2022-03-29,2022-04-07,long_spread,0,failure,stop_loss,9,-2.4762667796948135,-3.5156067435325373
evt_0062,AAPL_QQQ_XLK,kalman,2022-03-30,2022-04-05,short_spread,1,success,reversion,6,2.1959472240121194,-0.09770302488341709
evt_0063,JPM_XLF_KRE,kalman,2022-03-31,2022-04-10,long_spread,0,failure,max_holding,10,-2.6848925633433094,-1.4616433254610497
evt_0064,NVDA_SMH_QQQ,kalman,2022-04-01,2022-04-11,short_spread,1,success,reversion,10,2.4049879118626185,0.27712563523429357
evt_0065,NVDA_SMH_QQQ,kalman,2022-04-04,2022-04-08,long_spread,1,success,reversion,4,-2.7794643102776937,-0.12138404075841344
evt_0066,NVDA_SMH_QQQ,kalman,2022-04-05,2022-04-11,short_spread,1,success,reversion,6,2.74778667666457,0.03186076725384007
evt_0067,XOM_XLE_USO,kalman,2022-04-06,2022-04-10,long_spread,1,success,reversion,4,-2.5509818948202514,-0.03727304859699368
evt_0068,XOM_XLE_USO,kalman,2022-04-07,2022-04-16,short_spread,0,failure,max_holding,9,2.328218750731409,2.055441960057455
evt_0069,AAPL_QQQ_XLK,kalman,2022-04-08,2022-04-12,long_spread,0,failure,stop_loss,4,-2.7341150285395104,-3.3013238473311266
evt_0070,AAPL_QQQ_XLK,kalman,2022-04-11,2022-04-19,short_spread,1,success,reversion,8,2.7811046026998265,0.2572546623839045
evt_0071,XOM_XLE_USO,kalman,2022-04-12,2022-04-15,long_spread,0,failure,max_holding,3,-2.7075846323717916,-2.076070205701809
evt_0072,XOM_XLE_USO,kalman,2022-04-13,2022-04-21,short_spread,0,failure,max_holding,8,1.7643014779499653,1.1442129834606396
evt_0073,XOM_XLE_USO,kalman,2022-04-14,2022-04-19,long_spread,0,failure,max_holding,5,-1.9289917617286902,-1.3969265367919288
evt_0074,NVDA_SMH_QQQ,kalman,2022-04-15,2022-04-29,short_spread,1,success,reversion,14,2.6422498437525777,0.028151996215437347
evt_0075,XOM_XLE_USO,kalman,2022-04-18,2022-04-30,long_spread,0,failure,max_holding,12,-2.665081237238674,-0.7984850709110302
evt_0076,JPM_XLF_KRE,kalman,2022-04-19,2022-04-25,short_spread,0,failure,stop_loss,6,2.5061901252400762,3.1597815331295616
evt_0077,NVDA_SMH_QQQ,kalman,2022-04-20,2022-05-01,long_spread,1,success,reversion,11,-2.6275073885465736,-0.3949330027383138
evt_0078,JPM_XLF_KRE,kalman,2022-04-21,2022-04-28,short_spread,1,success,reversion,7,3.0692156958926042,0.544271886475936
evt_0079,XOM_XLE_USO,kalman,2022-04-22,2022-04-30,long_spread,1,success,reversion,8,-1.6219896841143389,-0.17507121115476368
evt_0080,AAPL_QQQ_XLK,kalman,2022-04-25,2022-05-06,short_spread,0,failure,stop_loss,11,2.367793525480865,3.6518223264391656
evt_0081,AAPL_QQQ_XLK,kalman,2022-04-26,2022-05-09,long_spread,1,success,reversion,13,-2.064529574865749,-0.2282633879586594
evt_0082,XOM_XLE_USO,kalman,2022-04-27,2022-05-07,short_spread,0,failure,stop_loss,10,1.5336461273340474,3.50571744380172
evt_0083,XOM_XLE_USO,kalman,2022-04-28,2022-05-03,long_spread,0,failure,max_holding,5,-2.655870425377299,-0.881877017905085
evt_0084,JPM_XLF_KRE,kalman,2022-04-29,2022-05-06,short_spread,0,failure,max_holding,7,1.5819451407463492,1.5099675977378473
evt_0085,JPM_XLF_KRE,kalman,2022-05-02,2022-05-09,long_spread,0,failure,stop_loss,7,-1.5667559437279268,-3.6049466357567272
evt_0086,XOM_XLE_USO,kalman,2022-05-03,2022-05-17,short_spread,0,failure,stop_loss,14,1.9427790474791002,3.1544068523047906
evt_0087,JPM_XLF_KRE,kalman,2022-05-04,2022-05-12,long_spread,0,failure,max_holding,8,-1.6406810029355077,-0.8249145090016469
evt_0088,NVDA_SMH_QQQ,kalman,2022-05-05,2022-05-10,short_spread,0,failure,max_holding,5,2.742256490010297,1.8101649789951257
evt_0089,JPM_XLF_KRE,kalman,2022-05-06,2022-05-17,long_spread,0,failure,stop_loss,11,-1.50893066983934,-3.5498808031653346
