date,triplet_id,method,target_symbol,hedge_symbol_1,hedge_symbol_2,residual,z_score
2023-02-10,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.8207520169231719,-1.201822818408864
2023-02-13,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-1.0030065072336378,-1.5617924486010746
2023-02-14,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.7583784534674052,-0.9427920108700875
2023-02-15,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.27225028759265696,0.15110590584789962
2023-02-16,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.2913715646513572,0.106213281899359
2023-02-17,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.34244399401298525,-0.010871907592479154
2023-02-20,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.26309239258811384,0.17149730490891918
2023-02-21,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.31223044899342517,0.05466021049786125
2023-02-22,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.2566424457017272,0.18522349190769957
2023-02-23,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.47663907327738153,-0.3437614691085844
2023-02-24,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.32302574930774725,0.033080076028865736
2023-02-27,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.1978951917964942,0.3396524728862314
2023-02-28,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.7099396003765842,-0.9110889517769029
2023-03-01,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.6489965563026365,-0.7149432214917697
2023-03-02,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.5352754896576335,-0.3964136642226059
2023-03-03,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.34757298364084704,0.0831276862636604
2023-03-06,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,1.2145960279793204,3.9705680010640374
2023-03-07,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.9806769664840529,2.7828805341590988
2023-03-08,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.8578342327939519,2.245150083288998
2023-03-09,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.6205368630193183,-0.7118489014794462
2023-03-10,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.7334762514352189,-0.9374203314336667
2023-03-13,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.81357073979818,-1.0851282628436043
2023-03-14,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.4643138239282978,-0.4482810186601551
2023-03-15,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.5815508347423068,-0.6972415274027816
2023-03-16,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.709463911139039,-1.0079853286950127
2023-03-17,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.6444005057752958,-0.8651773710080369
2023-03-20,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.5233781314727701,-0.6041639217558905
2023-03-21,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.232294230788363,-0.020084561393444902
2023-03-22,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.39787101295578303,-0.3425599573314092
2023-03-23,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.6951205021768542,-0.9177566063136595
2023-03-24,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.6386553052600576,-0.7629453425273784
2023-03-27,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.4204165691683782,-0.2943177622282237
2023-03-28,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.6959024203830437,-0.8168343780976018
2023-03-29,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.7195919934097119,-0.8264318187942727
2023-03-30,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.5658778808178198,-0.46233103327872876
2023-03-31,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.4471471891148128,-0.18053609167990933
2023-04-03,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.3751505484192091,0.00371885570298164
2023-04-04,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.38664817643196553,0.0042065065763340894
2023-04-05,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.5161066160358598,-0.2795457429748007
2023-04-06,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.6583641823230201,-0.5642356934429351
2023-04-07,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.32498278890440047,0.1837903866400659
2023-04-10,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.5317709915106787,-0.30080958144457176
2023-04-11,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.19779845085553693,0.4240347492944348
2023-04-12,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.4633754926432446,-0.212628113430961
2023-04-13,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.23101755960797105,1.3876483718341428
2023-04-14,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.17908895189933166,0.4094662305602764
2023-04-17,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.19534206820848535,1.235122878553291
2023-04-18,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.025454854690377837,0.7037886342502114
2023-04-19,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.04783567783900457,0.635142831893534
2023-04-20,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.056516962099568926,0.6020512149183468
2023-04-21,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.19322391296450672,0.2820500055903032
2023-04-24,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.32020933625215897,1.3831467065026137
2023-04-25,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.30266559205672083,1.2877404385856328
2023-04-26,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.0242905024490635,0.5386864686047714
2023-04-27,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.12086762559410888,0.8127570710785484
2023-04-28,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.263091894777705,1.0726103373897127
2023-05-01,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.02092540102658899,0.4412196323612166
2023-05-02,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.09942051633113246,0.8570894614483265
2023-05-03,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.1026603277157268,1.0266617091773529
2023-05-04,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.27081493364882214,1.7062482099173772
2023-05-05,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.3950001454057698,1.9606236461118178
2023-05-08,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.3457427985097209,1.6962493550326272
2023-05-09,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.21443143172252532,1.2422866960169714
2023-05-10,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.3889816502080746,1.6641265324949328
2023-05-11,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.4112076770688262,1.6269663067186357
2023-05-12,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.03422173373134635,0.5211482701716319
2023-05-15,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.0897560925432187,0.141913133274778
2023-05-16,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.185314089131893,-0.15470685066266374
2023-05-17,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.2207503897375597,-0.2576911807017272
2023-05-18,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.3082839112305557,1.224368373975063
2023-05-19,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.18828663483800612,0.8280082576767832
2023-05-22,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.2707063050511807,1.030542870701538
2023-05-23,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.6023948861966979,1.9588692467580315
2023-05-24,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.6409112772200293,1.9775524472800436
2023-05-25,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.6590149898826013,1.9467750590572819
2023-05-26,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.8654841068413657,2.4522097795294084
2023-05-29,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.8050343657738199,2.0825594309768305
2023-05-30,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.7493463656760216,1.7856728561418413
2023-05-31,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.8109472814365013,1.8488414754003164
2023-06-01,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.8042905226016523,1.7393038786195059
2023-06-02,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.5580970042499088,1.005830205817311
2023-06-05,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.23462937995305405,0.046771148740329005
2023-06-06,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.18153190530226704,-0.1673504859640074
2023-06-07,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.4673107240108063,0.6780292600209205
2023-06-08,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.36142197080976,0.2988768765246845
2023-06-09,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.5707058225338552,0.9713332723966022
2023-06-12,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.5929928398362698,1.0008669223715572
2023-06-13,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.45387635244749724,0.49981129057453183
2023-06-14,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.17993569052338143,-1.6448882695372142
2023-06-15,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-1.9094740033495312,-7.279068019856578
2023-06-16,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-1.9572650540036398,-4.805171672999402
2023-06-19,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-2.2905074840171356,-4.35129179342068
2023-06-20,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.3184555302989186,-0.6762777508931879
2023-06-21,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.2858338205471317,-0.6044486861451837
2023-06-22,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.16902208650071276,-0.4274191886552113
2023-06-23,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.281710933214403,-0.5754067455007074
2023-06-26,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.20346065777848715,-0.44403574588625777
2023-06-27,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.2831564047729553,-0.5486725830620126
2023-06-28,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.014889368119702345,-0.15777505950228848
2023-06-29,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.014249002679585869,-0.1128460899398362
2023-06-30,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.29601621962561286,-0.5383262482032776
2023-07-03,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.21334474288278188,-0.39797636553940047
2023-07-04,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.1728623283730029,-0.32182836503187706
2023-07-05,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.1968766167645944,-0.3416640185042509
2023-07-06,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.4701771170081278,-0.704364006830327
2023-07-07,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.18065755133910258,-0.26755198761213456
2023-07-10,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.3199299675688606,-0.45420200365701596
2023-07-11,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.06664142576785143,0.09314232876056767
2023-07-12,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.08654322140412729,-0.12901927966252205
2023-07-13,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.06901312577771217,-0.10938507759538088
2023-07-14,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.07059039318166123,-0.09864107992902958
2023-07-17,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.02886117192792422,-0.031281296158933755
2023-07-18,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.5561534709126622,0.7992828632386125
2023-07-19,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.37979173741961014,0.5544312415708723
2023-07-20,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.7894973467974276,1.1467839184181754
2023-07-21,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.831918474500215,1.1962055872585833
2023-07-24,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.5791865985294475,0.8431022704002022
2023-07-25,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.7859075081006277,1.1517859634860663
2023-07-26,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.8765799765227412,1.2773790100398308
2023-07-27,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.9813664867789531,1.4195221621779073
2023-07-28,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.5701259399420517,0.8248441277036357
2023-07-31,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.6123293802715367,0.8833088342735825
2023-08-01,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.45029635741585894,0.6375905034919529
2023-08-02,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.3649843626886724,0.507439412641887
2023-08-03,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.2922654168008744,0.4111495133871854
2023-08-04,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.26614060320627,0.3777232218071151
2023-08-07,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.5841013093304273,0.8354457546926284
2023-08-08,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.5972659943731765,0.8543945311529463
2023-08-09,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.11974664680868974,0.1807727487602811
2023-08-10,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.3796879462127039,0.5327082476527182
2023-08-11,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.35340687604099896,0.45984943611706214
2023-08-14,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.3399340750739642,0.40399823588567335
2023-08-15,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.10272322116206406,-0.6901118152300474
2023-08-16,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.0024507035944804217,-0.46316963008625806
2023-08-17,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.11192902209231644,-0.7647677222387627
2023-08-18,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.11173885139069062,-0.20384137925058116
2023-08-21,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.19870039630605912,-0.008509965125778167
2023-08-22,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.35695458995803714,0.37970001900343786
2023-08-23,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.23204864077026682,0.010693918662440453
2023-08-24,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.19825391463783038,-1.163873151099823
2023-08-25,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.0386709476138096,-0.5055586320848264
2023-08-28,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.12650741954007474,-0.30104797515835535
2023-08-29,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.03859017446201604,-0.5736901475140033
2023-08-30,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.08859481781041824,-0.9530819397391125
2023-08-31,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.27279793500525484,-1.490483970055167
2023-09-01,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.6278202355015907,-2.575783429452637
2023-09-04,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.8114666159158643,-2.8980142442544508
2023-09-05,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.72951531614992,-2.4594089989647867
2023-09-06,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.2878913966074396,-1.197455330580628
2023-09-07,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.15364809803765317,-0.8560834583051308
2023-09-08,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.217841005173183,0.022628727542766458
2023-09-11,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.030461014568517852,-0.5793516784345102
2023-09-12,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.24966427098163452,0.08084509040609286
2023-09-13,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.12815526568002222,-0.1890015126205377
2023-09-14,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.43536906195344566,0.5569732013967427
2023-09-15,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.6533717121229943,1.121249300850002
2023-09-18,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.5827469237058883,0.9749760796281774
2023-09-19,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.5424066321277448,0.8749078298470471
2023-09-20,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.7451534851556736,1.4167901249869144
2023-09-21,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.48066690237164716,0.7699836857789532
2023-09-22,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.05285352099484458,-0.5870153947350963
2023-09-25,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,1.6332134273598404,4.017668793749084
2023-09-26,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,2.0966345874696026,4.448280990435131
2023-09-27,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,1.6078780591340844,2.6406340723415074
2023-09-28,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.14105404356995946,-0.18831597360531863
2023-09-29,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.13594639344891768,-0.6671117275590354
2023-10-02,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.1834372412826455,-0.7287116405407474
2023-10-03,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.3814300832881512,-1.0388439019020026
2023-10-04,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.14317582991214164,-0.5774133303112478
2023-10-05,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.24593521388122405,-0.740657357367325
2023-10-06,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.2588494679594748,-0.732158177708328
2023-10-09,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.46621692345115456,-1.0554927919807129
2023-10-10,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.24903452112448718,-0.6433158625986993
2023-10-11,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.33132259463829716,-0.7730997815939712
2023-10-12,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.37480627394399524,-0.8265258360687566
2023-10-13,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.3464611403028206,-0.7632249886643634
2023-10-16,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.624273616819015,-1.1952332603640305
2023-10-17,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.5539461443763397,-1.0281692558270858
2023-10-18,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.8420896709170187,-1.4418147924720617
2023-10-19,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.7890216159532997,-1.2827328307193981
2023-10-20,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.7426849339656014,-1.1652947616434326
2023-10-23,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.7416428634076667,-1.1150621755917025
2023-10-24,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.6966082321356699,-0.9997640358178173
2023-10-25,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.7613886523662954,-1.055678545315535
2023-10-26,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.557654074520286,-0.7224016781401948
2023-10-27,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.49148727841322326,-0.6131363742319011
2023-10-30,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.5362393059429436,-0.6848571296607608
2023-10-31,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.5223203917467728,-0.6808885254174419
2023-11-01,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.6085953083097397,-0.8194101755005176
2023-11-02,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.5636149030939398,-0.7365942557928168
2023-11-03,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.5649221274489217,-0.7188526324893035
2023-11-06,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.8934908323147743,-1.161132255964185
2023-11-07,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.4238122701687936,-0.44602690719223487
2023-11-08,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.47085080770360926,-0.48934388560456143
